"Postcode","Number of Individuals (Taxable)","Average Individual Income (Taxable)","Number of Individuals with Private Health Insurance (Taxable)","Percentage of Postcode without PHI (Taxable)","Number of Individuals with Low Income Tax offset (Taxable)","Number of Individuals on Government Allowances and Payments (Taxable)","Percentage of Postcode recieving Government Allowances and Payments (Taxable)","Average Individual Government Allowances and Payments (Taxable)","Number of Individuals (Non-Taxable)","Average Individual Income (Non-Taxable)","Number of Individuals with Private Health Insurance (Non-Taxable)","Percentage of Postcode without PHI (Non-Taxable)","Number of Individuals with Low Income Tax offset (Non-Taxable)","Number of Individuals on Government Allowances and Payments (Non-Taxable)","Percentage of Postcode recieving Government Allowances and Payments (Non-Taxable)","Average Individual Government Allowances and Payments (Non-Taxable)","Number of Individuals (Total)","Number of Individuals with Private Health Insurance (Total)","Percentage of Postcode without PHI (Total)","Number of Individuals with Low Income Tax offset (Total)","Number of Individuals on Government Allowances and Payments (Total)","Percentage of Postcode recieving Government Allowances and Payments (Total)","Number of persons earning $18,200 or less","Number of persons earning $18,201 to $37,000","Number of persons earning $37,001 to $80,000","Number of persons earning $80,001 to $180,000","Number of persons earning $180,000 or more","Percentage of persons earning $18,200 or less","Percentage of persons earning $18,201 to $37,000","Percentage of persons earning $37,001 to $80,000","Percentage of persons earning $80,001 to $180,000","Percentage of persons earning $180,000 or more"
"3000",13203,79770,870,93,8203,417,3,4413,8382,9585,159,98,989,333,4,6858,21585,1029,95,9192,750,97,7490,4817,5762,2879,637,35,22,27,13,3
"3002",2921,143928,224,92,1179,83,3,4332,665,11012,32,95,87,57,9,6547,3586,256,93,1266,140,96,541,536,1152,908,449,15,15,32,25,13
"3003",2588,78708,184,93,1451,121,5,5051,983,10743,26,97,141,81,8,7115,3571,210,94,1592,202,94,825,726,1171,714,135,23,20,33,20,4
"3004",5426,109702,456,92,2481,138,3,4510,1515,9399,53,97,205,103,7,7488,6941,509,93,2686,241,97,1266,1106,2292,1737,540,18,16,33,25,8
"3006",9330,89804,806,91,4850,256,3,4494,2959,9697,96,97,383,176,6,7069,12289,902,93,5233,432,96,2556,2218,4176,2752,587,21,18,34,22,5
"3008",5455,89987,419,92,2715,108,2,4326,1709,9406,85,95,238,77,5,7019,7164,504,93,2953,185,97,1478,1262,2326,1721,377,21,18,32,24,5
"3011",9878,64440,595,94,6303,747,8,5070,3045,11861,77,97,509,626,21,7730,12923,672,95,6812,1373,89,2360,3213,4915,2234,201,18,25,38,17,2
"3012",11755,64948,642,95,7405,755,6,5169,3254,11805,58,98,545,634,19,7723,15009,700,95,7950,1389,91,2483,3520,6065,2725,216,17,23,40,18,1
"3013",7529,81177,541,93,3728,298,4,4864,1590,11822,51,97,262,280,18,7419,9119,592,94,3990,578,94,1212,1698,3315,2494,400,13,19,36,27,4
"3015",8558,83096,617,93,4143,341,4,4690,1866,12127,63,97,329,260,14,7505,10424,680,93,4472,601,94,1402,1903,3718,2924,477,13,18,36,28,5
"3016",7602,100281,547,93,3493,254,3,4586,2118,11731,90,96,329,233,11,6777,9720,637,93,3822,487,95,1599,1868,2946,2499,808,16,19,30,26,8
"3018",5938,73259,376,94,3349,289,5,4494,1709,11772,44,97,230,209,12,8057,7647,420,95,3579,498,93,1293,1563,2953,1655,183,17,20,39,22,2
"3019",3029,53724,112,96,2309,292,10,4812,1248,12838,14,99,235,350,28,7745,4277,126,97,2544,642,85,911,1259,1697,387,23,21,29,40,9,1
"3020",15582,54085,555,96,11870,1324,8,4945,6094,12604,90,99,1120,1390,23,7726,21676,645,97,12990,2714,87,4439,6241,8830,2078,88,20,29,41,10,0
"3021",17729,51770,400,98,14075,1679,9,4959,7224,12778,93,99,1288,1760,24,7764,24953,493,98,15363,3439,86,5262,7486,10214,1920,71,21,30,41,8,0
"3022",1490,56051,49,97,1091,124,8,4686,447,12910,5,99,89,112,25,8072,1937,54,97,1180,236,88,319,534,856,220,8,16,28,44,11,0
"3023",25376,61572,922,96,16843,1455,6,4616,7324,11775,133,98,1278,1448,20,7226,32700,1055,97,18121,2903,91,5575,7685,14093,5071,276,17,24,43,16,1
"3024",9664,59617,356,96,6539,630,7,4751,2601,12412,39,99,423,591,23,7527,12265,395,97,6962,1221,90,1935,2872,5550,1844,64,16,23,45,15,1
"3025",4530,65900,247,95,2807,267,6,4953,1311,12648,33,97,235,255,19,7488,5841,280,95,3042,522,91,936,1424,2321,1082,78,16,24,40,19,1
"3026",133,92187,5,96,69,4,3,6241,36,13543,0,100,11,4,11,10748,169,5,97,80,8,95,24,33,64,36,12,14,20,38,21,7
"3027",3198,68113,168,95,1871,90,3,4415,835,9578,21,97,146,83,10,7300,4033,189,95,2017,173,96,677,831,1587,892,46,17,21,39,22,1
"3028",12508,60248,554,96,8422,702,6,4772,3537,12056,63,98,599,619,18,7346,16045,617,96,9021,1321,92,2641,3879,6958,2463,104,16,24,43,15,1
"3029",38622,59241,1478,96,26625,1963,5,4545,11732,11549,195,98,1942,1976,17,7155,50354,1673,97,28567,3939,92,9017,12005,22099,6957,276,18,24,44,14,1
"3030",42926,67351,2123,95,26262,2067,5,4603,12416,11360,304,98,2077,1981,16,7338,55342,2427,96,28339,4048,93,9495,12157,22346,10400,944,17,22,40,19,2
"3031",8713,76806,601,93,4648,538,6,4860,2238,12258,79,96,320,515,23,7417,10951,680,94,4968,1053,90,1726,2190,4068,2611,356,16,20,37,24,3
"3032",14075,78205,885,94,7904,797,6,4955,3891,11578,118,97,582,663,17,7765,17966,1003,94,8486,1460,92,3052,3814,6605,3792,703,17,21,37,21,4
"3033",6197,70949,340,95,3675,240,4,4784,1887,12481,49,97,307,203,11,7124,8084,389,95,3982,443,95,1356,1898,3072,1560,198,17,23,38,19,2
"3034",4768,67366,216,95,2949,218,5,4596,1572,12558,28,98,251,208,13,7180,6340,244,96,3200,426,93,1130,1521,2440,1136,113,18,24,38,18,2
"3036",2903,81486,142,95,1563,97,3,4412,994,12279,26,97,148,88,9,6621,3897,168,96,1711,185,95,709,875,1327,837,149,18,22,34,21,4
"3037",21449,61935,763,96,14258,1138,5,4406,6027,11864,85,99,1121,1128,19,7081,27476,848,97,15379,2266,92,4538,6540,11739,4397,262,17,24,43,16,1
"3038",13008,64450,546,96,8337,604,5,4417,3934,12070,89,98,725,623,16,7040,16942,635,96,9062,1227,93,2917,4110,6787,2910,218,17,24,40,17,1
"3039",7214,88242,493,93,3624,279,4,4871,1888,11588,61,97,268,218,12,6936,9102,554,94,3892,497,95,1477,1749,3106,2231,539,16,19,34,25,6
"3040",13231,87754,820,94,6903,516,4,4241,3545,11581,135,96,603,361,10,6960,16776,955,94,7506,877,95,2674,3378,5973,3758,993,16,20,36,22,6
"3041",6105,82390,369,94,3224,199,3,4477,1649,11994,51,97,244,159,10,6753,7754,420,95,3468,358,95,1224,1608,2735,1819,368,16,21,35,23,5
"3042",7186,69482,439,94,4226,319,4,4509,2073,12341,61,97,313,254,12,7304,9259,500,95,4539,573,94,1526,2021,3686,1831,195,16,22,40,20,2
"3043",7674,61561,363,95,5159,441,6,4925,2310,12744,53,98,376,348,15,7340,9984,416,96,5535,789,92,1647,2439,4313,1488,97,16,24,43,15,1
"3044",12111,69936,687,94,7095,517,4,4390,3204,11803,88,97,506,446,14,7611,15315,775,95,7601,963,94,2409,3375,6023,3201,307,16,22,39,21,2
"3046",13351,60856,675,95,9019,698,5,4693,4519,11991,94,98,731,695,15,7180,17870,769,96,9750,1393,92,3413,4541,7075,2674,167,19,25,40,15,1
"3047",5169,49844,102,98,4249,586,11,5485,2411,13072,25,99,426,662,27,7933,7580,127,98,4675,1248,84,1741,2454,2885,483,17,23,32,38,6,0
"3048",4649,50001,111,98,3749,579,12,5017,1993,13191,13,99,389,631,32,7756,6642,124,98,4138,1210,82,1413,2169,2608,441,11,21,33,39,7,0
"3049",4258,62874,151,96,2821,220,5,4586,1139,12658,17,99,198,164,14,6701,5397,168,97,3019,384,93,829,1310,2333,864,61,15,24,43,16,1
"3051",5722,78335,389,93,3350,449,8,5076,2217,10994,58,97,289,404,18,8097,7939,447,94,3639,853,89,1824,1827,2626,1385,277,23,23,33,17,3
"3052",2431,86450,179,93,1409,190,8,5118,982,10726,28,97,111,191,19,7739,3413,207,94,1520,381,89,822,740,1103,575,173,24,22,32,17,5
"3053",5137,75778,334,93,3076,384,7,5098,2535,10473,67,97,279,394,16,8229,7672,401,95,3355,778,90,2166,1746,2277,1224,259,28,23,30,16,3
"3054",4577,90315,312,93,2416,328,7,5243,1269,11858,49,96,202,216,17,7606,5846,361,94,2618,544,91,959,1297,1944,1250,396,16,22,33,21,7
"3055",6715,70121,425,94,4032,498,7,4719,1856,12052,52,97,273,384,21,7706,8571,477,94,4305,882,90,1451,1974,3272,1660,214,17,23,38,19,2
"3056",12821,71173,817,94,7586,937,7,4719,3517,11538,113,97,522,695,20,7428,16338,930,94,8108,1632,90,2805,3688,6126,3244,475,17,23,37,20,3
"3057",6248,70802,450,93,3618,468,7,5082,1608,11690,53,97,229,363,23,7316,7856,503,94,3847,831,89,1296,1705,3026,1618,211,16,22,39,21,3
"3058",15415,67285,833,95,9510,974,6,4886,4550,12341,117,97,782,864,19,7608,19965,950,95,10292,1838,91,3400,4906,7578,3710,371,17,25,38,19,2
"3059",7367,67991,331,96,4552,257,3,4565,1983,11417,41,98,375,292,15,6522,9350,372,96,4927,549,94,1490,2261,3680,1716,203,16,24,39,18,2
"3060",4455,57985,141,97,3197,290,7,4691,1842,11853,30,98,299,326,18,7664,6297,171,97,3496,616,90,1386,1797,2311,759,44,22,29,37,12,1
"3061",1471,53647,33,98,1140,138,9,4877,664,12809,11,98,121,147,22,6775,2135,44,98,1261,285,87,476,675,788,176,20,22,32,37,8,1
"3062",85,116086,4,95,40,5,6,1994,13,12527,0,100,3,0,0,NA,98,4,96,43,5,95,10,16,41,17,14,10,16,42,17,14
"3063",285,76079,16,94,171,10,4,6853,83,10457,4,95,13,7,8,9607,368,20,95,184,17,95,64,78,145,65,16,17,21,39,18,4
"3064",28131,56829,856,97,20290,1798,6,4773,8211,12149,110,99,1482,1728,21,7109,36342,966,97,21772,3526,90,6191,9589,15893,4500,169,17,26,44,12,0
"3065",5341,89011,416,92,2862,375,7,5360,1421,11288,37,97,212,285,20,7793,6762,453,93,3074,660,90,1131,1474,2308,1438,411,17,22,34,21,6
