"Postcode","Index of Economic Resources - Rank within State or Territory - Percentile","Index of Economic Resources - Score","Index of Education and Occupation - Rank within State or Territory - Percentile","Index of Education and Occupation - Score","Index of Relative Socio-economic Advantage and Disadvantage - Rank within State or Territory - Percentile","Index of Relative Socio-economic Advantage and Disadvantage - Score","Index of Relative Socio-economic Disadvantage - Rank within State or Territory - Percentile","Index of Relative Socio-economic Disadvantage - Score"
"3000",1,731,95,1142,76,1043,24,967
"3002",35,992,100,1204,100,1160,100,1119
"3003",3,884,97,1161,93,1101,77,1054
"3004",15,953,100,1178,98,1128,94,1091
"3005",7,922,98,1162,97,1121,81,1062
"3006",3,886,99,1167,96,1117,83,1067
"3008",3,888,100,1180,96,1119,79,1059
"3011",4,896,80,1072,64,1016,36,985
"3012",11,944,72,1046,61,1011,38,992
"3013",60,1028,89,1106,90,1089,84,1069
"3015",71,1044,88,1103,90,1089,87,1073
"3016",67,1039,92,1122,91,1091,83,1067
"3018",37,994,71,1044,72,1031,66,1034
"3019",2,855,6,905,3,874,2,828
"3020",6,914,5,897,6,901,3,879
"3021",5,908,2,866,3,870,2,849
"3022",5,909,10,920,9,911,4,896
"3023",54,1022,30,964,43,984,35,984
"3024",42,1005,23,951,36,972,36,987
"3025",14,952,27,960,26,955,14,944
"3026",1,648,1,683,1,635,1,610
"3027",93,1084,82,1078,90,1090,88,1075
"3028",24,972,24,955,31,964,30,975
"3029",52,1018,34,969,48,992,43,1003
"3030",59,1028,51,1001,63,1015,52,1016
"3031",3,896,83,1083,65,1019,28,972
"3032",25,974,83,1081,79,1052,61,1028
"3033",63,1033,57,1011,68,1022,63,1030
"3034",46,1009,45,986,51,997,42,999
"3036",90,1078,71,1044,83,1064,87,1073
"3037",70,1043,29,962,53,1000,50,1013
"3038",72,1047,37,976,61,1010,58,1025
"3039",45,1008,89,1108,90,1089,85,1069
"3040",59,1028,87,1099,89,1087,89,1079
"3041",78,1055,83,1080,89,1086,93,1088
"3042",47,1011,58,1015,67,1021,64,1031
"3043",34,991,22,950,36,972,37,989
"3044",40,1000,74,1053,74,1039,69,1039
"3045",82,1062,76,1057,82,1061,81,1061
"3046",14,952,46,986,35,969,24,967
"3047",2,863,1,844,1,821,1,783
"3048",5,913,2,846,1,840,1,815
"3049",54,1022,26,959,46,988,45,1005
"3050",14,952,96,1156,95,1107,81,1063
"3051",1,818,92,1119,71,1028,24,966
"3052",5,911,99,1169,92,1098,78,1058
"3053",1,736,91,1118,60,1009,10,930
"3054",18,960,99,1173,97,1120,92,1084
"3055",11,941,88,1100,79,1052,65,1033
"3056",11,942,93,1128,88,1081,76,1052
"3057",13,947,95,1140,91,1091,83,1066
"3058",28,981,79,1066,74,1037,55,1020
"3059",98,1108,53,1005,78,1049,79,1058
"3060",9,931,18,940,14,925,7,915
"3061",7,925,1,838,2,844,1,820
"3063",98,1108,62,1020,82,1059,85,1069
"3064",47,1011,17,938,28,957,19,957
"3065",2,870,85,1091,67,1022,19,957
"3066",1,844,82,1076,53,999,12,936
"3067",14,952,97,1159,96,1114,89,1077
"3068",29,983,98,1166,95,1113,88,1075
"3070",39,998,94,1132,91,1094,82,1064
"3071",20,965,87,1099,81,1057,68,1038
"3072",14,950,73,1048,62,1011,40,996
"3073",9,934,44,984,30,960,18,953
"3074",10,939,2,876,4,888,3,879
"3075",18,960,4,893,8,906,5,897
"3076",38,997,22,949,33,966,31,977
"3078",50,1015,93,1131,93,1101,90,1080
"3079",77,1054,94,1138,96,1114,95,1095
"3081",3,893,52,1002,20,942,8,923
"3082",52,1018,37,974,50,995,51,1014
"3083",29,982,64,1025,64,1015,48,1010
"3084",73,1048,89,1108,89,1088,91,1083
"3085",64,1034,85,1089,85,1071,86,1071
"3087",52,1018,65,1029,68,1023,66,1036
"3088",78,1054,78,1061,81,1059,86,1072
"3089",97,1099,75,1055,87,1077,95,1092
"3090",100,1165,74,1054,96,1116,100,1118
"3091",100,1147,72,1047,92,1097,97,1103
"3093",95,1093,88,1100,94,1105,97,1102
"3094",78,1054,84,1088,87,1073,92,1086
